structure,view,series,paths,placement,weight_bps,date,amount_cents
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p2,central,54,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,stress,14,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p3,central,14,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,stress,1,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p4,central,1,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,stress,29,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,central,29,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,stress,6,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,central,6,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,stress,108,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,central,108,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,stress,28,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,central,28,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,stress,2,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,central,2,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p5,stress,57,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p5,central,57,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p1,stress,17,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p1,central,17,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p2,stress,310,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p2,central,310,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p3,central,79,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p4,stress,6,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p4,central,6,2024-10-21,206000000
net_60_2000000,event_adjusted,conditional,dispute_001_p4+dispute_003_p5,central,165,2024-10-21,206000000
net_60_2000000,event_adjusted,expected,,central,,2024-10-21,206000000
inst_60_2000000,bank_only,disbursement,,,,2024-08-20,-200000000
inst_60_2000000,bank_only,contractual,,,,2024-09-20,102700000
inst_60_2000000,bank_only,contractual,,,,2024-10-21,102700000
inst_60_2000000,bank_only,conditional,bank_only,central,10000,2024-09-20,102700000
inst_60_2000000,bank_only,conditional,bank_only,central,10000,2024-10-21,102700000
inst_60_2000000,bank_only,expected,,central,,2024-09-20,102700000
